source,target,weight,count,tags
snicoll,rodolphocouto,4.0,1,pr_approved:1
akkinoc,marcwrobel,4.0,1,pr_review:1
cuspymd,onobc,4.0,1,pr_review:1
mhalbritter,thecooldrop,8.0,2,pr_review:2
mhalbritter,KitBolourchi,4.0,1,pr_review:1
philwebb,JurrianFahner,4.0,1,pr_review:1
bclozel,onobc,12.0,3,pr_review:3
philwebb,onobc,36.0,9,pr_review:9
wilkinsona,michaelmcfadyen,8.0,2,pr_review:2
snicoll,jonatan-ivanov,4.0,1,pr_changes_requested:1
chenrujun,ahmedmq,4.0,1,pr_review:1
ghuntley,Siddhant-K-code,4.0,1,pr_review:1
snicoll,cdalexndr,4.0,1,pr_review:1
wilkinsona,jdubois,4.0,1,pr_review:1
snicoll,glours,4.0,1,pr_review:1
mhalbritter,timpeeters,4.0,1,pr_review:1
wilkinsona,tkvangorder,8.0,2,pr_review:2
mhalbritter,StefanBratanov,4.0,1,pr_changes_requested:1
snicoll,tomekl007,8.0,2,pr_review:2
snicoll,fmbenhassine,12.0,3,pr_review:2;pr_changes_requested:1
wilkinsona,hakan-krgn,4.0,1,pr_changes_requested:1
wilkinsona,dmiska25,12.0,3,pr_review:3
mhalbritter,slissner,4.0,1,pr_review:1
garyrussell,fzilic,4.0,1,pr_review:1
wilkinsona,codefromthecrypt,8.0,2,pr_review:2
akashpawar6474,YangSiJun528,4.0,1,pr_review:1
jzheaux,ayudovin,4.0,1,pr_review:1
wilkinsona,hpoettker,4.0,1,pr_review:1
wilkinsona,siva-sai-udaygiri,20.0,5,pr_review:3;pr_changes_requested:2
wilkinsona,IEnoobong,4.0,1,pr_review:1
wilkinsona,mhalbritter,20.0,5,pr_review:5
wilkinsona,jonatan-ivanov,48.0,12,pr_review:12
dsyer,jkschneider,4.0,1,pr_review:1
wilkinsona,asashour,4.0,1,pr_review:1
snicoll,scordio,8.0,2,pr_review:2
johnou,dominicgunn,4.0,1,pr_review:1
garyrussell,scottfrederick,4.0,1,pr_review:1
snicoll,MichaelSp,8.0,2,pr_review:2
wilkinsona,agg505,8.0,2,pr_review:2
artembilan,TYsewyn,8.0,2,pr_review:2
wilkinsona,scottmf,4.0,1,pr_approved:1
snicoll,qinnnyul,20.0,5,pr_review:4;pr_changes_requested:1
snicoll,garyrussell,36.0,9,pr_review:9
philwebb,Grubhart,8.0,2,pr_review:2
snicoll,hpoettker,4.0,1,pr_review:1
philwebb,eddumelendez,4.0,1,pr_changes_requested:1
thecooldrop,nosan,4.0,1,pr_review:1
wilkinsona,JimStockwell,8.0,2,pr_review:1;pr_changes_requested:1
tgeens,ayudovin,4.0,1,pr_review:1
snicoll,ttddyy,16.0,4,pr_review:2;pr_changes_requested:2
snicoll,jzheaux,4.0,1,pr_review:1
nosan,zbw1231,8.0,2,pr_review:2
snicoll,quaff,24.0,6,pr_review:6
abdelhak-zaaim,cmabdullah,4.0,1,pr_changes_requested:1
wilkinsona,aahlenst,4.0,1,pr_review:1
wilkinsona,gaohanghang,4.0,1,pr_review:1
snicoll,ge0ffrey,4.0,1,pr_review:1
snicoll,hcxin,12.0,3,pr_review:3
wilkinsona,chinmoy12c,4.0,1,pr_changes_requested:1
wilkinsona,hyunmin0317,4.0,1,pr_review:1
wilkinsona,TwiN,12.0,3,pr_review:3
wilkinsona,tiborsulyan,4.0,1,pr_review:1
wilkinsona,ahmedmq,4.0,1,pr_review:1
snicoll,jkschneider,12.0,3,pr_review:3
scottfrederick,brneto,4.0,1,pr_review:1
wilkinsona,dratler,12.0,3,pr_review:3
akashpawar6474,ngocnhan-tran1996,4.0,1,pr_changes_requested:1
wilkinsona,be-hase,8.0,2,pr_review:2
snicoll,dreis2211,64.0,16,pr_review:16
snicoll,jensonjoseph,4.0,1,pr_review:1
wilkinsona,hojooo,8.0,2,pr_review:2
jonatan-ivanov,neiser,8.0,2,pr_review:2
snicoll,vignesh1992,4.0,1,pr_review:1
wilkinsona,mipo256,8.0,2,pr_review:2
wilkinsona,christophstrobl,4.0,1,pr_review:1
wilkinsona,mstahv,8.0,2,pr_review:2
snicoll,kazuki43zoo,4.0,1,pr_changes_requested:1
eddumelendez,thecooldrop,16.0,4,pr_review:4
wilkinsona,larsgrefer,8.0,2,pr_review:2
snicoll,marcingrzejszczak,4.0,1,pr_review:1
philwebb,dominicgunn,12.0,3,pr_review:3
snicoll,somayaj,8.0,2,pr_changes_requested:2
bclozel,izeye,5.0,1,pr_merged:1
wilkinsona,bedla,4.0,1,pr_changes_requested:1
wilkinsona,artembilan,36.0,9,pr_review:9
kopa,ayudovin,4.0,1,pr_review:1
snicoll,rstoyanchev,4.0,1,pr_review:1
spencergibb,artembilan,4.0,1,pr_review:1
snicoll,mhalbritter,16.0,4,pr_review:4
wilkinsona,lzx404243,4.0,1,pr_review:1
wilkinsona,p7nov,4.0,1,pr_review:1
wilkinsona,mattrpav,4.0,1,pr_review:1
wilkinsona,geminiKim,4.0,1,pr_review:1
snicoll,meistermeier,44.0,11,pr_review:11
wilkinsona,PiyalAhmed,4.0,1,pr_changes_requested:1
snicoll,jbertram,20.0,5,pr_review:5
snicoll,polarbear567,12.0,3,pr_review:2;pr_approved:1
ronodhirSoumik,jkschneider,8.0,2,pr_review:1;pr_approved:1
snicoll,sagacity,4.0,1,pr_review:1
mjf1310,Buzzardo,4.0,1,pr_approved:1
wilkinsona,garyrussell,32.0,8,pr_review:7;pr_changes_requested:1
artembilan,tomazfernandes,28.0,7,pr_review:7
rwinch,ayudovin,4.0,1,pr_review:1
Bursul,quaff,20.0,5,pr_review:5
snicoll,jackhammer2k,4.0,1,pr_review:1
cdupuis,nitram509,5.0,1,pr_merged:1
snicoll,rajadilipkolli,4.0,1,pr_review:1
wilkinsona,royclarkson,4.0,1,pr_review:1
caio-correa-ifood,rodolphocouto,4.0,1,pr_approved:1
wilkinsona,Pengfei-Lu,4.0,1,pr_changes_requested:1
wilkinsona,juliojgd,4.0,1,pr_review:1
jonatan-ivanov,mhalbritter,20.0,5,pr_review:3;pr_approved:2
snicoll,gesellix,4.0,1,pr_review:1
wilkinsona,doumdoum,8.0,2,pr_review:2
fmbenhassine,Buzzardo,16.0,4,pr_review:4
rajadilipkolli,izeye,4.0,1,pr_review:1
wilkinsona,wanger26,20.0,5,pr_review:5
wilkinsona,quaff,96.0,24,pr_review:24
wilkinsona,billyto,4.0,1,pr_review:1
ravening,jackhammer2k,4.0,1,pr_review:1
snicoll,aheritier,4.0,1,pr_approved:1
snicoll,michael-simons,28.0,7,pr_review:7
garyrussell,almogtavor,4.0,1,pr_changes_requested:1
wilkinsona,Chanwon-Seo,8.0,2,pr_review:2
mhalbritter,mpalourdio,20.0,5,pr_review:5
garyrussell,htztomic,4.0,1,pr_review:1
wilkinsona,rajadilipkolli,20.0,5,pr_review:5
johnhunt,cvienot,4.0,1,pr_approved:1
